customer_id,customer_name,city,age,email,phone
201,Sneha Patel,Hyderabad,35,customer201@example.com,9368018471
202,Vihaan Sharma,Kolkata,29,customer202@example.com,9635844374
203,Meera Jain,Patna,53,customer203@example.com,9226444910
204,Nitesh Soni,Indore,46,customer204@example.com,9330393232
205,Ishita Yadav,Kolkata,49,customer205@example.com,9314939857
206,Vihaan Gupta,Nagpur,22,customer206@example.com,9585377142
207,Krishna Kumar,Kolkata,46,customer207@example.com,9194264587
208,Riya Kapoor,Ahmedabad,60,customer208@example.com,9473045064
209,Mohit Verma,Bhopal,52,customer209@example.com,9411774120
210,Aman Kapoor,Mumbai,58,customer210@example.com,9286928799
211,Neha Agarwal,Pune,25,customer211@example.com,9315801027
212,Arjun Singh,Surat,49,customer212@example.com,9128222260
213,Neha Agarwal,Chennai,41,customer213@example.com,9601873197
214,Ritika Gupta,Chennai,23,customer214@example.com,9170596494
215,Aman Jain,Kolkata,48,customer215@example.com,9664461415
216,Pooja Soni,Noida,54,customer216@example.com,9179189225
217,Arjun Patel,Hyderabad,22,customer217@example.com,9583156434
218,Karan Joshi,Bhopal,40,customer218@example.com,9237798236
219,Saurabh Agarwal,Hyderabad,55,customer219@example.com,9295381429
220,Saurabh Gupta,Noida,50,customer220@example.com,9159499094
221,Vihaan Agarwal,Mumbai,37,customer221@example.com,9276799196
222,Krishna Patel,Patna,32,customer222@example.com,9471539452
223,Meera Kumar,Indore,23,customer223@example.com,9369085407
224,Rohan Joshi,Bhopal,35,customer224@example.com,9234400576
225,Ananya Yadav,Chennai,52,customer225@example.com,9200317984
226,Meera Joshi,Mumbai,55,customer226@example.com,9723464439
227,Arjun Gupta,Hyderabad,57,customer227@example.com,9873773537
228,Ishita Patel,Nagpur,54,customer228@example.com,9144232045
229,Aarav Verma,Jaipur,59,customer229@example.com,9927878967
230,Sakshi Yadav,Hyderabad,31,customer230@example.com,9923515952
231,Sakshi Jain,Chennai,58,customer231@example.com,9132519237
232,Ankit Kumar,Hyderabad,52,customer232@example.com,9411032572
233,Ananya Yadav,Lucknow,33,customer233@example.com,9964027324
234,Riya Jain,Indore,47,customer234@example.com,9178354184
235,Mohit Sharma,Mumbai,46,customer235@example.com,9546270451
236,Ankit Mehta,Pune,39,customer236@example.com,9751396498
237,Arjun Patel,Nagpur,38,customer237@example.com,9888340979
238,Neha Jain,Mumbai,41,customer238@example.com,9652955706
239,Ritika Verma,Ahmedabad,33,customer239@example.com,9600871106
240,Vihaan Yadav,Lucknow,33,customer240@example.com,9251266214
241,Vihaan Sharma,Indore,42,customer241@example.com,9760756497
