customer_id,customer_name,city,age,email,phone
1,Ananya Verma,Jaipur,35,customer1@example.com,9362950628
2,Rahul Gupta,Kolkata,24,customer2@example.com,9826600539
3,Deepak Kumar,Bhopal,23,customer3@example.com,9734036506
4,Pooja Sharma,Jaipur,23,customer4@example.com,9334760738
5,Rahul Agarwal,Chennai,19,customer5@example.com,9702632297
6,Rohan Mishra,Hyderabad,52,customer6@example.com,9550455977
7,Rahul Mehta,Chennai,35,customer7@example.com,9969119330
8,Aarav Soni,Surat,28,customer8@example.com,9849621470
9,Pooja Patel,Indore,27,customer9@example.com,9331191390
10,Saurabh Patel,Delhi,23,customer10@example.com,9507943839
11,Vihaan Patel,Nagpur,40,customer11@example.com,9748245888
12,Nitesh Soni,Jaipur,47,customer12@example.com,9675770529
13,Vihaan Kumar,Noida,23,customer13@example.com,9692749116
14,Aman Kapoor,Hyderabad,57,customer14@example.com,9488302652
15,Sakshi Singh,Kolkata,22,customer15@example.com,9149203558
16,Riya Singh,Surat,36,customer16@example.com,9185675980
17,Rahul Kapoor,Delhi,42,customer17@example.com,9398471886
18,Karan Joshi,Nagpur,41,customer18@example.com,9274648506
19,Neha Patel,Pune,60,customer19@example.com,9386665249
20,Mohit Kumar,Hyderabad,59,customer20@example.com,9176667861
21,Ishita Joshi,Mumbai,52,customer21@example.com,9882893941
22,Rahul Gupta,Lucknow,42,customer22@example.com,9389854268
23,Ananya Mishra,Bhopal,32,customer23@example.com,9835098955
24,Priya Kapoor,Surat,21,customer24@example.com,9345938494
25,Vivaan Soni,Ahmedabad,43,customer25@example.com,9387484583
26,Aditya Singh,Patna,54,customer26@example.com,9870854579
27,Priya Singh,Hyderabad,49,customer27@example.com,9524806516
28,Ananya Mehta,Mumbai,34,customer28@example.com,9249926919
29,Rahul Mishra,Bhopal,52,customer29@example.com,9382116655
30,Deepak Chauhan,Noida,55,customer30@example.com,9528853029
31,Neha Singh,Mumbai,50,customer31@example.com,9629908599
32,Aditya Soni,Jaipur,25,customer32@example.com,9264112119
33,Ananya Gupta,Surat,45,customer33@example.com,9740389325
34,Aditya Jain,Noida,56,customer34@example.com,9602564736
35,Meera Yadav,Bhopal,18,customer35@example.com,9830448745
36,Deepak Verma,Hyderabad,52,customer36@example.com,9906248900
37,Nitesh Soni,Hyderabad,39,customer37@example.com,9219778234
38,Aman Jain,Mumbai,47,customer38@example.com,9103484630
39,Deepak Kumar,Kolkata,34,customer39@example.com,9637500247
40,,Bhopal,24,customer40@example.com,9771410971
41,Aman Kapoor,Hyderabad,50,customer41@example.com,9753876785
42,Rohan Gupta,Ahmedabad,28,customer42@example.com,9679153816
43,Saurabh Kumar,Bhopal,18,customer43@example.com,9743111853
44,Priya Mehta,Jaipur,25,customer44@example.com,9489747629
45,Aman Singh,Jaipur,33,customer45@example.com,9709194872
46,Aditya Verma,Kolkata,49,customer46@example.com,9976198296
47,Aditya Soni,Bhopal,26,customer47@example.com,9237859287
48,Riya Mehta,Bhopal,28,customer48@example.com,9384602384
49,Meera Kapoor,Chennai,45,customer49@example.com,9327416584
50,Ritika Soni,Kolkata,30,customer50@example.com,9865523129
51,Aman Jain,Hyderabad,59,customer51@example.com,9500957212
52,Karan Kumar,Bhopal,46,customer52@example.com,9229927269
53,Rahul Singh,Delhi,39,customer53@example.com,9122585366
54,Sakshi Agarwal,Pune,55,customer54@example.com,9336456621
55,Aarav Verma,Kolkata,58,customer55@example.com,9163215224
56,Rahul Verma,Patna,20,customer56@example.com,9454794895
57,Aditya Agarwal,Pune,35,customer57@example.com,9818309417
58,Ankit Singh,Bhopal,26,customer58@example.com,9876693898
59,Sakshi Chauhan,Lucknow,33,customer59@example.com,9942478695
60,Ankit Soni,Noida,30,customer60@example.com,9201281557
61,Vihaan Joshi,Noida,40,customer61@example.com,9554814084
62,Pooja Mehta,Nagpur,21,customer62@example.com,9823019672
63,Ananya Joshi,Delhi,21,customer63@example.com,9532311310
64,Deepak Patel,Surat,24,customer64@example.com,9366992705
65,Rohan Singh,Bhopal,46,customer65@example.com,9250519597
66,Pooja Gupta,Indore,47,customer66@example.com,9368227631
67,Aditya Mehta,Surat,53,customer67@example.com,9205128697
68,Vivaan Joshi,Bhopal,18,customer68@example.com,9200140141
69,Saurabh Kapoor,Pune,28,customer69@example.com,9536383774
70,Ankit Mehta,Pune,43,customer70@example.com,9162959284
71,,Jaipur,42,customer71@example.com,9384759615
72,Karan Yadav,Noida,53,customer72@example.com,9810678904
73,Mohit Mehta,Mumbai,30,customer73@example.com,9418587604
74,Rohan Sharma,Chennai,52,customer74@example.com,9165452690
75,Deepak Patel,Jaipur,21,customer75@example.com,9727255918
76,Ankit Agarwal,Patna,51,customer76@example.com,9269042105
77,Vivaan Agarwal,Delhi,29,customer77@example.com,9173574218
78,Ishita Verma,Hyderabad,33,customer78@example.com,9533550699
79,Vihaan Kumar,,33,customer79@example.com,9721609600
80,Ishita Sharma,Chennai,23,customer80@example.com,9550139320
81,Riya Chauhan,Chennai,51,customer81@example.com,9439699535
82,Nitesh Singh,Hyderabad,38,customer82@example.com,9356287095
83,Nitesh Jain,Mumbai,60,customer83@example.com,9793101194
84,Aman Mehta,Ahmedabad,22,customer84@example.com,9110002396
85,Karan Chauhan,Chennai,24,customer85@example.com,9178663096
86,Ritika Singh,Bhopal,34,customer86@example.com,9242224154
87,Neha Kumar,Delhi,33,customer87@example.com,9496776692
88,Aman Gupta,Lucknow,52,customer88@example.com,9855420240
89,Aman Chauhan,Surat,59,customer89@example.com,9667945747
90,Aarav Joshi,Nagpur,53,customer90@example.com,9421455482
91,Riya Verma,Patna,26,customer91@example.com,9383968123
92,Vihaan Kumar,Delhi,53,customer92@example.com,9266910922
93,Nitesh Yadav,Chennai,31,customer93@example.com,9870530217
94,Priya Singh,Hyderabad,58,customer94@example.com,9383450553
95,Meera Mehta,Indore,21,customer95@example.com,9199104722
96,Ananya Jain,Nagpur,35,customer96@example.com,9147337803
97,Aarav Patel,Surat,26,customer97@example.com,9784095277
98,Nitesh Gupta,Kolkata,46,customer98@example.com,9692362342
99,Mohit Jain,Bhopal,18,customer99@example.com,9220123666
100,Aditya Kumar,Kolkata,27,customer100@example.com,9685823118
101,Vivaan Kapoor,Ahmedabad,55,customer101@example.com,9693269304
102,Arjun Jain,Mumbai,20,customer102@example.com,9430989881
103,Neha Kumar,Patna,20,customer103@example.com,9484194737
104,Rohan Joshi,Pune,60,customer104@example.com,9210373808
105,Neha Soni,Bhopal,44,customer105@example.com,9766430218
106,Deepak Gupta,Patna,33,customer106@example.com,9274484941
107,Krishna Kumar,Noida,19,customer107@example.com,9292587044
108,Deepak Kumar,Ahmedabad,44,customer108@example.com,9961393416
109,Riya Kapoor,Kolkata,33,customer109@example.com,9386480450
110,Krishna Soni,Kolkata,24,customer110@example.com,9510751046
111,Vivaan Kapoor,Lucknow,32,customer111@example.com,9314289692
112,Karan Patel,Indore,32,customer112@example.com,9339362341
113,Aarav Joshi,Pune,43,customer113@example.com,9452468587
114,Nitesh Kapoor,Delhi,35,customer114@example.com,9477040284
115,Ananya Agarwal,Noida,52,customer115@example.com,9455569462
116,Aarav Verma,Patna,34,customer116@example.com,9291735734
117,Sakshi Yadav,Jaipur,24,customer117@example.com,9740563507
118,Pooja Patel,Kolkata,38,customer118@example.com,9568574364
119,Ishita Agarwal,Delhi,42,customer119@example.com,9719106699
120,Rohan Yadav,Jaipur,45,customer120@example.com,9101815992
121,Meera Kumar,Surat,52,customer121@example.com,9837507241
122,Deepak Mishra,Kolkata,60,customer122@example.com,9311564862
123,Neha Jain,Delhi,60,customer123@example.com,9454549587
124,Ishita Patel,Hyderabad,25,customer124@example.com,9872830248
125,Aman Agarwal,Indore,60,customer125@example.com,9538508549
126,Priya Jain,Kolkata,36,customer126@example.com,9695295870
127,Arjun Singh,Noida,60,customer127@example.com,9507104143
128,Riya Mishra,Patna,29,customer128@example.com,9760904107
129,Sakshi Yadav,Noida,53,customer129@example.com,9995205588
130,Aarav Yadav,Indore,31,customer130@example.com,9561588882
131,Sakshi Chauhan,Hyderabad,38,customer131@example.com,9599277266
132,Karan Mehta,Hyderabad,31,customer132@example.com,9648868899
