user_id,username,email,age,subscription,transaction_date,region,city,product_category,price,sale_amount,status,store_id,raw_timestamp
1001,user1001,user1001@example.com,52,Basic,2/7/2025,West,Mumbai,Electronics,2418.9,7256.7,Delivered,S108,2/7/2025 8:03
1002,user1002,user1002@example.com,30,Premium,6/18/2025,West,Mumbai,Office Supplies,1925.49,3850.98,Pending,S107,6/18/2025 6:25
1003,user1003,user1003@example.com,18,Premium,4/29/2025,West,Mumbai,Furniture,1046.49,6278.94,Pending,S110,4/29/2025 5:12
1004,user1004,user1004@example.com,26,Basic,2/12/2025,West,Mumbai,Groceries,2744.34,16466.04,Returned,S104,2/12/2025 22:39
1005,user1005,user1005@example.com,48,Premium,5/10/2025,West,Mumbai,Electronics,4122.7,20613.5,Cancelled,S102,5/10/2025 9:41
1006,user1006,user1006@example.com,27,Basic,4/22/2025,West,Mumbai,Groceries,4316.99,21584.95,Cancelled,S106,4/22/2025 5:03
1007,user1007,user1007@example.com,59,Premium,3/12/2025,West,Mumbai,Office Supplies,3612.64,7225.28,Pending,S108,3/12/2025 0:44
1008,user1008,user1008@example.com,43,Basic,1/30/2025,West,Mumbai,Groceries,3614.44,3614.44,Delivered,S108,1/30/2025 17:02
1009,user1009,user1009@example.com,24,Basic,6/29/2025,West,Mumbai,Furniture,4555.34,9110.68,Pending,S104,6/29/2025 20:05
1010,user1010,user1010@example.com,47,Basic,2/1/2025,West,Mumbai,Groceries,317.45,1269.8,Cancelled,S110,2/1/2025 8:26
1011,user1011,user1011@example.com,34,Basic,2/7/2025,West,Mumbai,Furniture,5999.05,17997.15,Returned,S104,2/7/2025 1:24
1012,,user1012@example.com,53,Premium,3/11/2025,West,Mumbai,Furniture,,0,,S107,3/11/2025 0:41
1013,user1013,user1013@example.com,38,Premium,1/21/2025,West,Mumbai,Electronics,235.98,235.98,Cancelled,S103,1/21/2025 2:01
1014,user1014,user1014@example.com,18,Premium,6/27/2025,West,Mumbai,Groceries,947.54,5685.24,,S107,6/27/2025 5:24
1015,user1015,user1015@example.com,22,Premium,4/8/2025,West,Mumbai,Furniture,3646.34,18231.7,Cancelled,S107,4/8/2025 18:54
1016,user1016,user1016@example.com,47,Premium,5/30/2025,West,Mumbai,Office Supplies,756.57,3782.85,Returned,S102,5/30/2025 2:02
1017,user1017,user1017@example.com,53,Basic,4/24/2025,West,Mumbai,Furniture,4165.34,12496.02,Delivered,S109,4/24/2025 18:09
1018,user1018,user1018@example.com,38,Basic,2/13/2025,West,Mumbai,Clothing,4320.91,25925.46,Returned,S105,2/13/2025 7:47
1019,user1019,user1019@example.com,48,Premium,3/31/2025,West,Mumbai,Groceries,766.66,766.66,Delivered,S108,3/31/2025 6:31
1020,user1020,user1020@example.com,29,Basic,1/13/2025,West,Mumbai,Groceries,1610.34,8051.7,Delivered,S104,1/13/2025 14:44
1021,user1021,user1021@example.com,57,Basic,1/3/2025,West,Mumbai,Office Supplies,3801.01,3801.01,Returned,S102,1/3/2025 5:21
1022,user1022,user1022@example.com,38,Premium,6/2/2025,West,Mumbai,Furniture,4305.9,4305.9,Pending,S102,6/2/2025 14:59
1023,user1023,user1023@example.com,40,Basic,1/5/2025,West,Mumbai,Electronics,3637.54,21825.24,Returned,S108,1/5/2025 1:27
1024,user1024,user1024@example.com,34,Premium,4/8/2025,West,Mumbai,Electronics,1595.1,4785.3,Returned,S105,4/8/2025 7:54
1025,user1025,user1025@example.com,41,Basic,5/13/2025,West,Mumbai,Groceries,2179.25,4358.5,Returned,S104,5/13/2025 12:01
1026,user1026,user1026@example.com,55,Premium,4/30/2025,West,Mumbai,Groceries,5928.28,5928.28,Cancelled,S110,4/30/2025 23:53
1027,user1027,user1027@example.com,57,Premium,3/15/2025,West,Mumbai,Furniture,844.27,1688.54,Returned,S108,3/15/2025 23:06
1028,user1028,user1028@example.com,39,Premium,5/16/2025,West,Mumbai,Electronics,3731.39,11194.17,Pending,S110,5/16/2025 8:30
1029,user1029,user1029@example.com,37,Basic,3/30/2025,West,Mumbai,Clothing,3103.8,15519,Cancelled,S107,3/30/2025 1:00
1030,user1030,user1030@example.com,58,Premium,3/10/2025,West,Mumbai,Clothing,4206.49,4206.49,Cancelled,S109,3/10/2025 8:47
1031,user1031,user1031@example.com,49,Basic,6/10/2025,West,Mumbai,Groceries,4138.19,12414.57,Delivered,S102,6/10/2025 10:39
1032,user1032,user1032@example.com,33,Basic,2/9/2025,West,Mumbai,Clothing,5816.29,11632.58,Returned,S106,2/9/2025 0:18
1033,,user1033@example.com,48,Basic,4/19/2025,West,Mumbai,Furniture,4888.21,19552.84,Pending,S105,4/19/2025 12:00
1034,user1034,user1034@example.com,27,Basic,1/7/2025,West,Mumbai,Clothing,5850.77,35104.62,Pending,S103,1/7/2025 13:19
1035,user1035,user1035@example.com,20,Basic,3/17/2025,West,Mumbai,Electronics,4295.63,25773.78,Pending,S109,3/17/2025 13:24
1036,user1036,user1036@example.com,57,Premium,4/8/2025,West,Mumbai,Groceries,2346.96,7040.88,Pending,S109,4/8/2025 11:42
