customer_id,name,email,city,customer_type,signup_date
100001,Matthew Rana,matthewrana341@gmail.com,Ahmedabad,REGULAR,2/12/2025
100002,Girindra Pau,girindrapau84@gmail.com,Delhi,REGULAR,11/4/2024
100003,Baljiwan Chadha,baljiwanchadha69@gmail.com,Pune,REGULAR,3/31/2024
100004,Wridesh Chana,wrideshchana454@gmail.com,Pune,REGULAR,9/19/2024
100005,Jatin Kapoor,jatinkapoor444@gmail.com,Kolkata,REGULAR,1/13/2025
100006,Mekhala Bawa,mekhalabawa238@gmail.com,Kolkata,VIP,6/2/2026
100007,Kiaan Mann,kiaanmann600@gmail.com,Jaipur,VIP,3/10/2024
100008,Darika Golla,darikagolla57@gmail.com,Mumbai,REGULAR,12/4/2022
100009,Kashish Chatterjee,kashishchatterjee157@gmail.com,Kolkata,REGULAR,9/14/2024
100010,Darpan Jha,darpanjha845@gmail.com,Delhi,REGULAR,7/1/2024
100011,Dipta Shroff,diptashroff664@gmail.com,Delhi,REGULAR,11/8/2024
100012,Janaki Mistry,janakimistry74@gmail.com,Kolkata,REGULAR,7/4/2023
100013,Yagnesh Bumb,yagneshbumb706@gmail.com,Hyderabad,REGULAR,10/23/2024
100014,Hemal Sen,hemalsen955@gmail.com,Bengaluru,REGULAR,8/31/2023
100015,Jacob Vala,jacobvala194@gmail.com,Pune,REGULAR,3/8/2024
100016,Max Suresh,maxsuresh317@gmail.com,Hyderabad,PREMIUM,3/14/2024
100017,Dipta Oak,diptaoak304@gmail.com,Delhi,REGULAR,4/17/2025
100018,Tanmayi Biswas,tanmayibiswas438@gmail.com,Hyderabad,REGULAR,11/15/2025
100019,Urvi Bhattacharyya,urvibhattacharyya510@gmail.com,Delhi,PREMIUM,10/3/2022
100020,Sanaya Mane,sanayamane596@gmail.com,Hyderabad,REGULAR,5/18/2025
100021,Arin Shenoy,arinshenoy368@gmail.com,Kolkata,PREMIUM,12/8/2023
100022,Wakeeta Bhargava,wakeetabhargava80@gmail.com,Bengaluru,REGULAR,5/21/2023
100023,Kai Kota,kaikota690@gmail.com,Bengaluru,REGULAR,2/8/2024
100024,Faris Ganesan,farisganesan707@gmail.com,Bengaluru,PREMIUM,4/23/2024
100025,Laksh Sani,lakshsani918@gmail.com,Jaipur,VIP,12/20/2025
100026,Ojasvi Parmer,ojasviparmer373@gmail.com,Delhi,REGULAR,3/30/2025
100027,Vihaan Dora,vihaandora233@gmail.com,Mumbai,PREMIUM,11/5/2022
100028,Vincent Kaul,vincentkaul417@gmail.com,Chennai,REGULAR,7/24/2022
100029,Adya Manda,adyamanda469@gmail.com,Bengaluru,PREMIUM,7/12/2022
100030,Kala Nagar,kalanagar848@gmail.com,Lucknow,REGULAR,4/29/2026
100031,Tanmayi Ramanathan,tanmayiramanathan435@gmail.com,Ahmedabad,VIP,2/8/2024
100032,Hemang Subramaniam,hemangsubramaniam164@gmail.com,Mumbai,REGULAR,1/18/2025
100033,Rayaan Bhavsar,rayaanbhavsar248gmail.com,Kolkata,REGULAR,6/14/2026
100034,Nicholas Choudhary,nicholaschoudhary298gmail.com,Ahmedabad,REGULAR,11/15/2023
100035,Harsh Acharya,harshacharya634@gmail.com,Mumbai,REGULAR,10/12/2024
100036,Januja Bal,janujabal537@gmail.com,Jaipur,REGULAR,10/17/2022
100037,Krisha Dixit,krishadixit901@gmail.com,Lucknow,REGULAR,1/18/2025
100038,Januja Som,janujasom418@gmail.com,Chennai,REGULAR,1/2/2023
100039,Unnati Srinivasan,unnatisrinivasan73@gmail.com,Pune,REGULAR,6/12/2024
100040,Maanas Chaudry,maanaschaudry122@gmail.com,Jaipur,REGULAR,7/6/2025
100041,Varenya Edwin,varenyaedwin590@gmail.com,Delhi,VIP,7/30/2024
100042,Janaki Din,janakidin638@gmail.com,Pune,REGULAR,4/10/2025
100043,Chanchal Chand,chanchalchand162@gmail.com,Hyderabad,REGULAR,4/19/2025
100044,Zarna Peri,zarnaperi495@gmail.com,Chennai,VIP,2/22/2026
100045,Udant Walia,udantwalia487@gmail.com,Bengaluru,REGULAR,9/5/2024
100046,Udant Hayer,udanthayer114@gmail.com,Bengaluru,REGULAR,9/26/2025
100047,Utkarsh Iyengar,utkarshiyengar718@gmail.com,Jaipur,REGULAR,8/1/2024
100048,Ayush Bala,ayushbala984@gmail.com,Mumbai,REGULAR,9/3/2025
100049,Aashi Hari,aashihari946@gmail.com,Lucknow,REGULAR,4/13/2025
100050,Sanya Palla,sanyapalla668@gmail.com,Bengaluru,REGULAR,5/2/2026
100051,Faris Kannan,fariskannan940@gmail.com,Pune,REGULAR,12/3/2022
100052,Ronith Nazareth,ronithnazareth807@gmail.com,Pune,REGULAR,5/1/2023
100053,Varenya Padmanabhan,varenyapadmanabhan817@gmail.com,Pune,PREMIUM,9/17/2025
100054,Jagdish Rama,jagdishrama847@gmail.com,Pune,REGULAR,8/22/2025
100055,Vanya Gokhale,vanyagokhale514@gmail.com,Jaipur,VIP,3/31/2024
100056,Gabriel Randhawa,gabrielrandhawa819@gmail.com,Bengaluru,REGULAR,5/13/2024
100057,Nathan Garde,nathangarde629@gmail.com,Chennai,PREMIUM,6/26/2026
100058,Matthew Shroff,matthewshroff750@gmail.com,Hyderabad,REGULAR,9/27/2025
100059,Urvi Palla,urvipalla114@gmail.com,Pune,REGULAR,2/19/2023
